k,g,p,Date,Python_File,Run_Time,KG_Time,Init_Time,Main_Time,N^g_Time,N^g_Count,Average_N^g_Length,Average_Nb_Length,Average_tot_occur,NodeLB_Time,NodeLB_Count,Less_k_NodeLB_Success,Less_k_NodeLB_Fail,Ge_k_NodeLB_Fail,EdgeLB_Time,EdgeLB_Count,Less_k_EdgeLB_Success,Less_k_EdgeLB_Fail,Ge_k_EdgeLB_Fail,Average_frac_edge,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
1,3,0.2,2024-05-06 18:27:03,ASAP.py,0.1059,0.1033,0.1038,0.0021,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,242,12704,242,12704
1,3,0.3,2024-05-06 18:27:04,ASAP.py,0.1065,0.1039,0.1044,0.0021,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,242,12704,242,12704
1,3,0.4,2024-05-06 18:27:04,ASAP.py,0.1054,0.1030,0.1034,0.0020,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,242,12704,242,12704
1,3,0.5,2024-05-06 18:27:04,ASAP.py,0.1040,0.1016,0.1021,0.0019,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,242,12704,242,12704
1,3,0.6,2024-05-06 18:27:04,ASAP.py,0.1054,0.1030,0.1035,0.0019,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,242,12704,242,12704
1,3,0.7,2024-05-06 18:27:04,ASAP.py,0.1068,0.1042,0.1047,0.0020,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,242,12704,242,12704
1,3,0.8,2024-05-06 18:27:04,ASAP.py,0.1058,0.1034,0.1039,0.0019,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,242,12704,242,12704
1,3,0.9,2024-05-06 18:27:04,ASAP.py,0.1045,0.1022,0.1026,0.0019,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,242,12704,242,12704
1,3,1.0,2024-05-06 18:27:04,ASAP.py,0.1081,0.1054,0.1060,0.0021,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,1.0000,242,12704,242,12704
1,4,0.0,2024-05-06 18:27:04,ASAP.py,0.1048,0.1024,0.1029,0.0019,0.0000,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0,0.9984,241,12704,241,12704
